dataset,shot,method,log_count,csv_summary_count,strict_oh_r2_h2_log_count,strict_oh_r2_h2_csv_count,checkpoint_path_count,checkpoint_unique_sha_count,seed_status,split_status,status
fgvc,1,lora,7,12,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
fgvc,1,singlora,5,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
fgvc,1,ohsinglora,18,0,2,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,strict_r2_h2_evidence_available
fgvc,4,lora,7,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
fgvc,4,singlora,4,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
fgvc,4,ohsinglora,11,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
fgvc,16,lora,1,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
fgvc,16,singlora,3,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
fgvc,16,ohsinglora,6,4,0,0,14,9,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
eurosat,1,lora,7,6,0,0,1,1,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
eurosat,1,singlora,5,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
eurosat,1,ohsinglora,29,11,2,0,4,4,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,strict_r2_h2_evidence_available
eurosat,4,lora,7,0,0,0,3,3,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
eurosat,4,singlora,4,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
eurosat,4,ohsinglora,22,11,0,0,4,4,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
eurosat,16,lora,1,0,0,0,1,1,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
eurosat,16,singlora,2,0,0,0,0,0,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,log_or_csv_evidence_available
eurosat,16,ohsinglora,17,15,0,0,25,13,seed_unknown_or_seed1_only; seed2_seed3_required,split_hash_missing,evidence_available_config_unclear_or_nonstandard
