claim_id,manuscript_item,rendered_reference,latex_label,source_location,evidence_artifact,evidence_detail,seed_split_status,verification_status,required_action
CLAIM-HYPERPARAMS,"Experimental settings table","Table 1","tab:hyperparams","revision_materials/Latex_code/cas-sc-template.tex:437","ART-MANUSCRIPT-TEX; ART-SCRIPT-LORA; Author_Decisions.md; ART-RAW-MANIFEST","Current table says Training Iterations=500 and Random Seeds=1; code/Author Decisions specify 500 steps per shot and seeds {1,2,3} for Tier-A. Recovered checkpoints are path-derived seed1 only; logs do not expose parseable seed IDs in filenames.","Manuscript conflicts with author decisions; recovered raw evidence does not support a 3-seed claim yet.","SOURCE-CODE_INSPECTION_REQUIRED","Rewrite protocol table after ECR3 and selection protocol; do not preserve Random Seeds=1 as final revision protocol."
CLAIM-MAIN-1SHOT,"1-shot main results","Table 2","tab:1","revision_materials/Latex_code/cas-sc-template.tex:497","ART-WORKBOOK-RESULTS sheet=ohsinglora; ART-RAW-LOGS; ART-MAIN-RESULTS-MANIFEST; ART-TIER-A-MATRIX; ART-WORKBOOK-XCHECK; ART-CKPT-ALL","Manuscript reports OrthoAdapt avg 73.48 vs CLIP-LoRA 73.26; workbook contains matching derived values; recovered 1-shot logs/CSVs have been normalized into main_results_manifest.*; all 1-shot OrthoAdapt Tier-A cells have strict R2/H2 recovered evidence.","Seed IDs, split hashes, seed2/seed3 evidence, and variance estimates are not yet established.","UNVERIFIED_RERUN_REQUIRED","Use normalized manifest for reconciliation; re-evaluate matching recovered seed1 checkpoints where needed; rerun or recover seeds 2-3; generate mean +/- std and paired statistics."
CLAIM-MAIN-4SHOT,"4-shot main results","Table 3","tab:2","revision_materials/Latex_code/cas-sc-template.tex:527","ART-WORKBOOK-RESULTS sheet=ohsinglora; ART-RAW-LOGS; ART-MAIN-RESULTS-MANIFEST; ART-TIER-A-MATRIX; ART-WORKBOOK-XCHECK; ART-CKPT-ALL; ART-FIG-DATA-ASSETS","Manuscript reports OrthoAdapt avg 79.96 vs CLIP-LoRA 79.53 and EuroSAT +1.57; workbook, recovered logs/CSVs, and some seed1 checkpoints are available in normalized outputs.","Validation/test split provenance, strict OrthoAdapt R2/H2 evidence for 4-shot cells, seed2/seed3 evidence, and variance estimates are not yet established.","UNVERIFIED_RERUN_REQUIRED","Use validation-selected config only; reconcile workbook/log mismatches; re-evaluate recovered checkpoints where valid; rerun missing seeds/configs; regenerate table and combined chart from final manifest."
CLAIM-MAIN-16SHOT,"16-shot main results","Table 4","tab:3","revision_materials/Latex_code/cas-sc-template.tex:553","ART-WORKBOOK-RESULTS sheet=ohsinglora; ART-RAW-LOGS; ART-MAIN-RESULTS-MANIFEST; ART-TIER-A-MATRIX; ART-WORKBOOK-XCHECK; ART-CKPT-ALL","Manuscript reports OrthoAdapt avg 84.84 vs CLIP-LoRA 84.52; many 16-shot logs and seed1 checkpoints recovered and normalized.","Aircraft value still lacks matching recovered checkpoint/log evidence; strict OrthoAdapt R2/H2 evidence for 16-shot cells, seed2/seed3 evidence, and split hashes are not yet established.","UNVERIFIED_RERUN_REQUIRED","Reconcile normalized 16-shot evidence; re-evaluate recovered seed1 checkpoints; recover/rerun missing Aircraft and seeds 2-3; add variance and paired tests."
CLAIM-ABLATION-HEADS,"Head-count ablation","Figure 5a / Appendix table","fig:4; tab:4","revision_materials/Latex_code/cas-sc-template.tex:581; revision_materials/Latex_code/cas-sc-template.tex:674","ART-WORKBOOK-RESULTS sheet=num head scan ohsinglora; ART-RAW-LOGS; ART-MAIN-RESULTS-MANIFEST; ART-WORKBOOK-XCHECK; ART-FIG-DATA-ASSETS; ART-CKPT-ALL","Manuscript claims H=2 best and H=4 suffers rank fragmentation; table has rows where H=4 is best average; related logs/CSV/checkpoints are recovered and normalized.","No validation split provenance; rank-fragmentation causal claim not verified.","UNVERIFIED_RERUN_REQUIRED","Move sweep to validation protocol; reconcile workbook/log mismatches; re-evaluate recovered ablation checkpoints; weaken mechanism claim unless diagnostics support it."
CLAIM-ABLATION-LAMBDA,"Orthogonal regularization sensitivity","Figure 5b / Table 6","fig:4; tab:5","revision_materials/Latex_code/cas-sc-template.tex:581; revision_materials/Latex_code/cas-sc-template.tex:708","ART-WORKBOOK-RESULTS sheet=Sensitivity; ART-RAW-LOGS; ART-MAIN-RESULTS-MANIFEST; ART-WORKBOOK-XCHECK; ART-FIG-DATA-ASSETS; ART-CKPT-ALL","Manuscript reports EuroSAT 4-shot 88.64 at lambda=0.01 and 88.57 at lambda=0.03; related ablation logs/CSVs and some checkpoints recovered and normalized; table uses comma decimal separators.","Current selection appears test-set based per reviewer; no validation-only split evidence or seed manifest found.","UNVERIFIED_RERUN_REQUIRED","Run/re-evaluate frozen validation sweep; reconcile normalized workbook/log rows; regenerate sensitivity table with periods and config-specific captions."
CLAIM-ROBUSTNESS,"Robustness under corruption","Figure 6","fig:5","revision_materials/Latex_code/cas-sc-template.tex:596","ART-FIG-DATA-ASSETS; ART-SCRIPT-ROBUSTNESS; ART-CKPT-ALL","Manuscript claims +3.6 on EuroSAT under Medium severity; reviewer notes abstract says severe; checkpoint evidence and corruption figure assets recovered.","No robustness log, corruption seed, paired corrupted sample cache, or robustness manifest found.","UNVERIFIED_RERUN_REQUIRED","Repair eval_robustness.py for deterministic paired corruptions; re-evaluate from recovered checkpoints where possible; regenerate figure/report."
CLAIM-SPECTRUM,"Spectral analysis / rank collapse","Figure 7","fig:6","revision_materials/Latex_code/cas-sc-template.tex:603","ART-FIG-DATA-ASSETS; ART-SCRIPT-SPECTRUM; ART-CKPT-ALL","Spectrum PNG/drawio assets and checkpoints recovered; manuscript claims flatter spectrum and rank-collapse mitigation across layers.","Exact checkpoint-to-figure mapping, matrix definition, and spectrum manifest are still absent; reviewer flags rank-budget inconsistency.","UNVERIFIED_RERUN_REQUIRED","Repair analyze_spectrum.py to fail closed; regenerate from exact checkpoint/config and record checkpoint hash, matrix definition, shape/rank, and script version."
CLAIM-GATING-SPECIALIZATION,"Emergent gating specialization","Figure 8","fig:7","revision_materials/Latex_code/cas-sc-template.tex:659","ART-FIG-DATA-ASSETS; ART-SCRIPT-OH-LAYER; ART-CKPT-ALL","Gating figure/source assets and checkpoints recovered; manuscript claims Head 1 specializes in Highway and Head 2 in Forest.","No sample list, class-label manifest, exact checkpoint mapping, or inference manifest found.","UNVERIFIED_RERUN_REQUIRED","Regenerate from selected checkpoint with sample manifest, class labels, layer/head metadata, checkpoint hash, and gating-weight export."
CLAIM-PSD-THEORY,"PSD escape / expressiveness framing","Figure 2 and Method Section","fig:2","revision_materials/Latex_code/cas-sc-template.tex:266","ART-MANUSCRIPT-TEX; source-code inspection","Softmax-weighted symmetric PSD heads remain PSD; original strong PSD escape framing is mathematically invalid.","Not experiment-dependent.","SOURCE-CODE_INSPECTION_REQUIRED","Rewrite theory/caption to input-conditional adaptation and spectral-rank recovery; remove PSD-escape claim."
